drug_name,lookupkey,phenotypes,classification,drugrecommendation,population
azathioprine,"{""TPMT"": ""Poor Metabolizer"", ""NUDT15"": ""Indeterminate""}","{""TPMT"": ""Poor Metabolizer"", ""NUDT15"": ""Indeterminate""}",Strong,Consider alternative nonthiopurine immunosuppressant therapy.,general
azathioprine,"{""TPMT"": ""Possible Intermediate Metabolizer"", ""NUDT15"": ""Poor Metabolizer""}","{""TPMT"": ""Possible Intermediate Metabolizer"", ""NUDT15"": ""Poor Metabolizer""}",Strong,Consider alternative nonthiopurine immunosuppressant therapy.,general
azathioprine,"{""TPMT"": ""Intermediate Metabolizer"", ""NUDT15"": ""Poor Metabolizer""}","{""TPMT"": ""Intermediate Metabolizer"", ""NUDT15"": ""Poor Metabolizer""}",Strong,Consider alternative nonthiopurine immunosuppressant therapy.,general
azathioprine,"{""TPMT"": ""Normal Metabolizer"", ""NUDT15"": ""Poor Metabolizer""}","{""TPMT"": ""Normal Metabolizer"", ""NUDT15"": ""Poor Metabolizer""}",Strong,Consider alternative nonthiopurine immunosuppressant therapy.,general
azathioprine,"{""TPMT"": ""Normal Metabolizer"", ""NUDT15"": ""Normal Metabolizer""}","{""TPMT"": ""Normal Metabolizer"", ""NUDT15"": ""Normal Metabolizer""}",Strong,"Initiate therapy with standard starting dose (e.g., 2 mg/kg/day for autoimmune diseases). During therapy, adjust doses of azathioprine based on disease-specific guidelines. It usually takes at least 2 weeks to reach steady state after each dose adjustment.",general
azathioprine,"{""TPMT"": ""Normal Metabolizer"", ""NUDT15"": ""Intermediate Metabolizer""}","{""TPMT"": ""Normal Metabolizer"", ""NUDT15"": ""Intermediate Metabolizer""}",Strong,"Initiate therapy with reduced starting doses (30-80% of standard starting dose) if standard starting dose is ≥2 mg/kg/day. If starting dose is already below standard starting dose, dose reduction might not be necessary. During therapy, adjust the doses of azathioprine based on the degree of myelosuppression and disease-specific guidelines. It usually takes at least 2-4 weeks of stable dosing to reach steady state after each dose adjustment.",general
azathioprine,"{""TPMT"": ""Normal Metabolizer"", ""NUDT15"": ""Possible Intermediate Metabolizer""}","{""TPMT"": ""Normal Metabolizer"", ""NUDT15"": ""Possible Intermediate Metabolizer""}",Strong,"Initiate therapy with reduced starting doses (30-80% of standard starting dose) if standard starting dose is ≥2 mg/kg/day. If starting dose is already below standard starting dose, dose reduction might not be necessary. During therapy, adjust the doses of azathioprine based on the degree of myelosuppression and disease-specific guidelines. It usually takes at least 2-4 weeks of stable dosing to reach steady state after each dose adjustment.",general
azathioprine,"{""TPMT"": ""Intermediate Metabolizer"", ""NUDT15"": ""Normal Metabolizer""}","{""TPMT"": ""Intermediate Metabolizer"", ""NUDT15"": ""Normal Metabolizer""}",Strong,"Initiate therapy with reduced starting doses (30-80% of standard starting dose) if standard starting dose is ≥2 mg/kg/day. If starting dose is already below standard starting dose, dose reduction might not be necessary. During therapy, adjust the doses of azathioprine based on the degree of myelosuppression and disease-specific guidelines. It usually takes at least 2-4 weeks of stable dosing to reach steady state after each dose adjustment.",general
azathioprine,"{""TPMT"": ""Possible Intermediate Metabolizer"", ""NUDT15"": ""Normal Metabolizer""}","{""TPMT"": ""Possible Intermediate Metabolizer"", ""NUDT15"": ""Normal Metabolizer""}",Strong,"Initiate therapy with reduced starting doses (30-80% of standard starting dose) if standard starting dose is ≥2 mg/kg/day. If starting dose is already below standard starting dose, dose reduction might not be necessary. During therapy, adjust the doses of azathioprine based on the degree of myelosuppression and disease-specific guidelines. It usually takes at least 2-4 weeks of stable dosing to reach steady state after each dose adjustment.",general
azathioprine,"{""TPMT"": ""Indeterminate"", ""NUDT15"": ""Poor Metabolizer""}","{""TPMT"": ""Indeterminate"", ""NUDT15"": ""Poor Metabolizer""}",Strong,Consider alternative nonthiopurine immunosuppressant therapy.,general
azathioprine,"{""TPMT"": ""Poor Metabolizer"", ""NUDT15"": ""Possible Intermediate Metabolizer""}","{""TPMT"": ""Poor Metabolizer"", ""NUDT15"": ""Possible Intermediate Metabolizer""}",Strong,Consider alternative nonthiopurine immunosuppressant therapy.,general
azathioprine,"{""TPMT"": ""Poor Metabolizer"", ""NUDT15"": ""Intermediate Metabolizer""}","{""TPMT"": ""Poor Metabolizer"", ""NUDT15"": ""Intermediate Metabolizer""}",Strong,Consider alternative nonthiopurine immunosuppressant therapy.,general
azathioprine,"{""TPMT"": ""Poor Metabolizer"", ""NUDT15"": ""Normal Metabolizer""}","{""TPMT"": ""Poor Metabolizer"", ""NUDT15"": ""Normal Metabolizer""}",Strong,Consider alternative nonthiopurine immunosuppressant therapy.,general
azathioprine,"{""TPMT"": ""Poor Metabolizer"", ""NUDT15"": ""Poor Metabolizer""}","{""TPMT"": ""Poor Metabolizer"", ""NUDT15"": ""Poor Metabolizer""}",Strong,Consider alternative nonthiopurine immunosuppressant therapy.,general
azathioprine,"{""TPMT"": ""Intermediate Metabolizer"", ""NUDT15"": ""Intermediate Metabolizer""}","{""TPMT"": ""Intermediate Metabolizer"", ""NUDT15"": ""Intermediate Metabolizer""}",Moderate,"Initiate therapy with reduced starting doses (20%-50% of standard starting dose) if standard starting dose is ≥ 2 mg/kg/day. If starting dose is already below standard starting dose, dose reduction might not be necessary. During therapy, adjust the doses of azathioprine based on the degree of myelosuppression and disease-specific guidelines. It usually takes at least 2-4 weeks of stable dosing to reach steady state after each dose adjustment.",general
azathioprine,"{""TPMT"": ""Possible Intermediate Metabolizer"", ""NUDT15"": ""Intermediate Metabolizer""}","{""TPMT"": ""Possible Intermediate Metabolizer"", ""NUDT15"": ""Intermediate Metabolizer""}",Moderate,"Initiate therapy with reduced starting doses (20%-50% of standard starting dose) if standard starting dose is ≥ 2 mg/kg/day. If starting dose is already below standard starting dose, dose reduction might not be necessary. During therapy, adjust the doses of azathioprine based on the degree of myelosuppression and disease-specific guidelines. It usually takes at least 2-4 weeks of stable dosing to reach steady state after each dose adjustment.",general
azathioprine,"{""TPMT"": ""Intermediate Metabolizer"", ""NUDT15"": ""Possible Intermediate Metabolizer""}","{""TPMT"": ""Intermediate Metabolizer"", ""NUDT15"": ""Possible Intermediate Metabolizer""}",Moderate,"Initiate therapy with reduced starting doses (20%-50% of standard starting dose) if standard starting dose is ≥ 2 mg/kg/day. If starting dose is already below standard starting dose, dose reduction might not be necessary. During therapy, adjust the doses of azathioprine based on the degree of myelosuppression and disease-specific guidelines. It usually takes at least 2-4 weeks of stable dosing to reach steady state after each dose adjustment.",general
azathioprine,"{""TPMT"": ""Possible Intermediate Metabolizer"", ""NUDT15"": ""Possible Intermediate Metabolizer""}","{""TPMT"": ""Possible Intermediate Metabolizer"", ""NUDT15"": ""Possible Intermediate Metabolizer""}",Moderate,"Initiate therapy with reduced starting doses (20%-50% of standard starting dose) if standard starting dose is ≥ 2 mg/kg/day. If starting dose is already below standard starting dose, dose reduction might not be necessary. During therapy, adjust the doses of azathioprine based on the degree of myelosuppression and disease-specific guidelines. It usually takes at least 2-4 weeks of stable dosing to reach steady state after each dose adjustment.",general
azathioprine,"{""TPMT"": ""Normal Metabolizer"", ""NUDT15"": ""Indeterminate""}","{""TPMT"": ""Normal Metabolizer"", ""NUDT15"": ""Indeterminate""}",Strong,"Based on TPMT, initiate therapy with standard starting dose (e.g., 2 mg/kg/day for autoimmune diseases). During therapy, adjust doses of azathioprine based on disease-specific guidelines. It usually takes at least 2 weeks to reach steady state after each dose adjustment.",general
azathioprine,"{""TPMT"": ""Intermediate Metabolizer"", ""NUDT15"": ""Indeterminate""}","{""TPMT"": ""Intermediate Metabolizer"", ""NUDT15"": ""Indeterminate""}",Strong,"Based on TPMT, initiate therapy with reduced starting doses (30-80% of standard starting dose) if standard starting dose is ≥2 mg/kg/day. If starting dose is already below standard starting dose, dose reduction might not be necessary. During therapy, adjust the doses of azathioprine based on the degree of myelosuppression and disease-specific guidelines. It usually takes at least 2-4 weeks of stable dosing to reach steady state after each dose adjustment.",general
azathioprine,"{""TPMT"": ""Possible Intermediate Metabolizer"", ""NUDT15"": ""Indeterminate""}","{""TPMT"": ""Possible Intermediate Metabolizer"", ""NUDT15"": ""Indeterminate""}",Strong,"Based on TPMT, initiate therapy with reduced starting doses (30-80% of standard starting dose) if standard starting dose is ≥2 mg/kg/day. If starting dose is already below standard starting dose, dose reduction might not be necessary. During therapy, adjust the doses of azathioprine based on the degree of myelosuppression and disease-specific guidelines. It usually takes at least 2-4 weeks of stable dosing to reach steady state after each dose adjustment.",general
azathioprine,"{""TPMT"": ""Indeterminate"", ""NUDT15"": ""Normal Metabolizer""}","{""TPMT"": ""Indeterminate"", ""NUDT15"": ""Normal Metabolizer""}",Strong,"Based on NUDT15, initiate therapy with standard starting dose (e.g., 2 mg/kg/day for autoimmune diseases). During therapy, adjust doses of azathioprine based on disease-specific guidelines. It usually takes at least 2 weeks to reach steady state after each dose adjustment.",general
azathioprine,"{""TPMT"": ""Indeterminate"", ""NUDT15"": ""Intermediate Metabolizer""}","{""TPMT"": ""Indeterminate"", ""NUDT15"": ""Intermediate Metabolizer""}",Strong,"Based on NUDT15, initiate therapy with reduced starting doses (30-80% of standard starting dose) if standard starting dose is ≥2 mg/kg/day. If starting dose is already below standard starting dose, dose reduction might not be necessary. During therapy, adjust the doses of azathioprine based on the degree of myelosuppression and disease-specific guidelines. It usually takes at least 2-4 weeks of stable dosing to reach steady state after each dose adjustment.",general
azathioprine,"{""TPMT"": ""Indeterminate"", ""NUDT15"": ""Possible Intermediate Metabolizer""}","{""TPMT"": ""Indeterminate"", ""NUDT15"": ""Possible Intermediate Metabolizer""}",Strong,"Based on NUDT15, initiate therapy with reduced starting doses (30-80% of standard starting dose) if standard starting dose is ≥2 mg/kg/day. If starting dose is already below standard starting dose, dose reduction might not be necessary. During therapy, adjust the doses of azathioprine based on the degree of myelosuppression and disease-specific guidelines. It usually takes at least 2-4 weeks of stable dosing to reach steady state after each dose adjustment.",general
azathioprine,"{""TPMT"": ""Indeterminate"", ""NUDT15"": ""Indeterminate""}","{""TPMT"": ""Indeterminate"", ""NUDT15"": ""Indeterminate""}",Strong,"Neither TPMT or NUDT15 phenotype could be assigned based on genotyping performed. Consider evaluating TPMT erythrocyte activity to assess TPMT phenotype. If thiopurines are required and either TPMT or NUDT15 status is unknown, monitor closely for toxicity.",general
azathioprine,"{""TPMT"": ""No Result"", ""NUDT15"": ""Normal Metabolizer""}","{""TPMT"": ""No Result"", ""NUDT15"": ""Normal Metabolizer""}",Strong,"Based on NUDT15, initiate therapy with standard starting dose (e.g., 2 mg/kg/day for autoimmune diseases). During therapy, adjust doses of azathioprine based on disease-specific guidelines. It usually takes at least 2 weeks to reach steady state after each dose adjustment.",general
azathioprine,"{""TPMT"": ""No Result"", ""NUDT15"": ""Intermediate Metabolizer""}","{""TPMT"": ""No Result"", ""NUDT15"": ""Intermediate Metabolizer""}",Strong,"Based on NUDT15, initiate therapy with reduced starting doses (30-80% of standard starting dose) if standard starting dose is ≥2 mg/kg/day. If starting dose is already below standard starting dose, dose reduction might not be necessary. During therapy, adjust the doses of azathioprine based on the degree of myelosuppression and disease-specific guidelines. It usually takes at least 2-4 weeks of stable dosing to reach steady state after each dose adjustment.",general
azathioprine,"{""TPMT"": ""No Result"", ""NUDT15"": ""Possible Intermediate Metabolizer""}","{""TPMT"": ""No Result"", ""NUDT15"": ""Possible Intermediate Metabolizer""}",Strong,"Based on NUDT15, initiate therapy with reduced starting doses (30-80% of standard starting dose) if standard starting dose is ≥2 mg/kg/day. If starting dose is already below standard starting dose, dose reduction might not be necessary. During therapy, adjust the doses of azathioprine based on the degree of myelosuppression and disease-specific guidelines. It usually takes at least 2-4 weeks of stable dosing to reach steady state after each dose adjustment.",general
azathioprine,"{""TPMT"": ""No Result"", ""NUDT15"": ""Poor Metabolizer""}","{""TPMT"": ""No Result"", ""NUDT15"": ""Poor Metabolizer""}",Strong,Consider alternative nonthiopurine immunosuppressant therapy.,general
azathioprine,"{""TPMT"": ""No Result"", ""NUDT15"": ""Indeterminate""}","{""TPMT"": ""No Result"", ""NUDT15"": ""Indeterminate""}",Strong,"Neither TPMT or NUDT15 phenotype could be assigned based on genotyping performed. Consider evaluating TPMT erythrocyte activity to assess TPMT phenotype. If thiopurines are required and either TPMT or NUDT15 status is unknown, monitor closely for toxicity.",general
azathioprine,"{""TPMT"": ""Normal Metabolizer"", ""NUDT15"": ""No Result""}","{""TPMT"": ""Normal Metabolizer"", ""NUDT15"": ""No Result""}",Strong,"Based on TPMT, initiate therapy with standard starting dose (e.g., 2 mg/kg/day for autoimmune diseases). During therapy, adjust doses of azathioprine based on disease-specific guidelines. It usually takes at least 2 weeks to reach steady state after each dose adjustment.",general
azathioprine,"{""TPMT"": ""Intermediate Metabolizer"", ""NUDT15"": ""No Result""}","{""TPMT"": ""Intermediate Metabolizer"", ""NUDT15"": ""No Result""}",Strong,"Based on TPMT, initiate therapy with reduced starting doses (30-80% of standard starting dose) if standard starting dose is ≥2 mg/kg/day. If starting dose is already below standard starting dose, dose reduction might not be necessary. During therapy, adjust the doses of azathioprine based on the degree of myelosuppression and disease-specific guidelines. It usually takes at least 2-4 weeks of stable dosing to reach steady state after each dose adjustment.",general
azathioprine,"{""TPMT"": ""Possible Intermediate Metabolizer"", ""NUDT15"": ""No Result""}","{""TPMT"": ""Possible Intermediate Metabolizer"", ""NUDT15"": ""No Result""}",Strong,"Based on TPMT, initiate therapy with reduced starting doses (30-80% of standard starting dose) if standard starting dose is ≥2 mg/kg/day. If starting dose is already below standard starting dose, dose reduction might not be necessary. During therapy, adjust the doses of azathioprine based on the degree of myelosuppression and disease-specific guidelines. It usually takes at least 2-4 weeks of stable dosing to reach steady state after each dose adjustment.",general
azathioprine,"{""TPMT"": ""Poor Metabolizer"", ""NUDT15"": ""No Result""}","{""TPMT"": ""Poor Metabolizer"", ""NUDT15"": ""No Result""}",Strong,Consider alternative nonthiopurine immunosuppressant therapy.,general
azathioprine,"{""TPMT"": ""Indeterminate"", ""NUDT15"": ""No Result""}","{""TPMT"": ""Indeterminate"", ""NUDT15"": ""No Result""}",Strong,"Neither TPMT or NUDT15 phenotype could be assigned based on genotyping performed. Consider evaluating TPMT erythrocyte activity to assess TPMT phenotype. If thiopurines are required and either TPMT or NUDT15 status is unknown, monitor closely for toxicity.",general
clopidogrel,"{""CYP2C19"": ""Likely Intermediate Metabolizer""}","{""CYP2C19"": ""Likely Intermediate Metabolizer""}",Moderate,Consider an alternative P2Y12 inhibitor at standard dose if clinically indicated and no contraindication.,NVI
clopidogrel,"{""CYP2C19"": ""Ultrarapid Metabolizer""}","{""CYP2C19"": ""Ultrarapid Metabolizer""}",Strong,"If considering clopidogrel, use at standard dose (75 mg/day)",CVI ACS PCI 
clopidogrel,"{""CYP2C19"": ""Rapid Metabolizer""}","{""CYP2C19"": ""Rapid Metabolizer""}",Strong,"If considering clopidogrel, use at standard dose (75 mg/day)",CVI ACS PCI 
clopidogrel,"{""CYP2C19"": ""Normal Metabolizer""}","{""CYP2C19"": ""Normal Metabolizer""}",Strong,"If considering clopidogrel, use at standard dose (75 mg/day)",CVI ACS PCI 
clopidogrel,"{""CYP2C19"": ""Likely Intermediate Metabolizer""}","{""CYP2C19"": ""Likely Intermediate Metabolizer""}",Strong,Avoid standard dose clopidogrel (75 mg) if possible. Use prasugrel or ticagrelor at standard dose if no contraindication.,CVI ACS PCI 
clopidogrel,"{""CYP2C19"": ""Intermediate Metabolizer""}","{""CYP2C19"": ""Intermediate Metabolizer""}",Strong,Avoid standard dose (75 mg) clopidogrel if possible. Use prasugrel or ticagrelor at standard dose if no contraindication.,CVI ACS PCI 
clopidogrel,"{""CYP2C19"": ""Likely Poor Metabolizer""}","{""CYP2C19"": ""Likely Poor Metabolizer""}",Strong,Avoid clopidogrel if possible. Use prasugrel or ticagrelor at standard dose if no contraindication.,CVI ACS PCI 
clopidogrel,"{""CYP2C19"": ""Poor Metabolizer""}","{""CYP2C19"": ""Poor Metabolizer""}",Strong,Avoid clopidogrel if possible. Use prasugrel or ticagrelor at standard dose if no contraindication.,CVI ACS PCI 
clopidogrel,"{""CYP2C19"": ""Indeterminate""}","{""CYP2C19"": ""Indeterminate""}",No Recommendation,No recommendation,CVI ACS PCI 
clopidogrel,"{""CYP2C19"": ""Ultrarapid Metabolizer""}","{""CYP2C19"": ""Ultrarapid Metabolizer""}",No Recommendation,No recommendation,CVI non-ACS non-PCI
clopidogrel,"{""CYP2C19"": ""Rapid Metabolizer""}","{""CYP2C19"": ""Rapid Metabolizer""}",No Recommendation,No recommendation,CVI non-ACS non-PCI
clopidogrel,"{""CYP2C19"": ""Normal Metabolizer""}","{""CYP2C19"": ""Normal Metabolizer""}",Strong,"If considering clopidogrel, use at standard dose (75 mg/day)",CVI non-ACS non-PCI
clopidogrel,"{""CYP2C19"": ""Likely Intermediate Metabolizer""}","{""CYP2C19"": ""Likely Intermediate Metabolizer""}",No Recommendation,No recommendation,CVI non-ACS non-PCI
clopidogrel,"{""CYP2C19"": ""Intermediate Metabolizer""}","{""CYP2C19"": ""Intermediate Metabolizer""}",No Recommendation,No recommendation,CVI non-ACS non-PCI
clopidogrel,"{""CYP2C19"": ""Likely Poor Metabolizer""}","{""CYP2C19"": ""Likely Poor Metabolizer""}",Moderate,Avoid clopidogrel if possible. Use prasugrel or ticagrelor at standard dose if no contraindication.,CVI non-ACS non-PCI
clopidogrel,"{""CYP2C19"": ""Poor Metabolizer""}","{""CYP2C19"": ""Poor Metabolizer""}",Moderate,Avoid clopidogrel if possible. Use prasugrel or ticagrelor at standard dose if no contraindication.,CVI non-ACS non-PCI
clopidogrel,"{""CYP2C19"": ""Indeterminate""}","{""CYP2C19"": ""Indeterminate""}",No Recommendation,No recommendation,CVI non-ACS non-PCI
clopidogrel,"{""CYP2C19"": ""Ultrarapid Metabolizer""}","{""CYP2C19"": ""Ultrarapid Metabolizer""}",No Recommendation,No recommendation,NVI
clopidogrel,"{""CYP2C19"": ""Rapid Metabolizer""}","{""CYP2C19"": ""Rapid Metabolizer""}",No Recommendation,No recommendation,NVI
clopidogrel,"{""CYP2C19"": ""Normal Metabolizer""}","{""CYP2C19"": ""Normal Metabolizer""}",Strong,"If considering clopidogrel, use at standard dose (75 mg/day)",NVI
clopidogrel,"{""CYP2C19"": ""Intermediate Metabolizer""}","{""CYP2C19"": ""Intermediate Metabolizer""}",Moderate,Consider an alternative P2Y12 inhibitor at standard dose if clinically indicated and no contraindication.,NVI
clopidogrel,"{""CYP2C19"": ""Likely Poor Metabolizer""}","{""CYP2C19"": ""Likely Poor Metabolizer""}",Moderate,Avoid clopidogrel if possible. Consider an alternative P2Y12 inhibitor at standard dose if clinically indicated and no contraindication.,NVI
clopidogrel,"{""CYP2C19"": ""Poor Metabolizer""}","{""CYP2C19"": ""Poor Metabolizer""}",Moderate,Avoid clopidogrel if possible. Consider an alternative P2Y12 inhibitor at standard dose if clinically indicated and no contraindication.,NVI
clopidogrel,"{""CYP2C19"": ""Indeterminate""}","{""CYP2C19"": ""Indeterminate""}",No Recommendation,No recommendation,NVI
codeine,"{""CYP2D6"": ""≥3.5""}","{""CYP2D6"": ""Ultrarapid Metabolizer""}",Strong,"Avoid codeine use because of potential for serious toxicity. If opioid use is warranted, consider a non-tramadol opioid.",general
codeine,"{""CYP2D6"": ""≥4.0""}","{""CYP2D6"": ""Ultrarapid Metabolizer""}",Strong,"Avoid codeine use because of potential for serious toxicity. If opioid use is warranted, consider a non-tramadol opioid.",general
codeine,"{""CYP2D6"": ""n/a""}","{""CYP2D6"": ""Indeterminate""}",No Recommendation,No recommendation,general
codeine,"{""CYP2D6"": ""0.25""}","{""CYP2D6"": ""Intermediate Metabolizer""}",Moderate,"Use codeine label recommended age- or weight-specific dosing. If no response and opioid use is warranted, consider a non-tramadol opioid.",general
codeine,"{""CYP2D6"": ""≥3.75""}","{""CYP2D6"": ""Ultrarapid Metabolizer""}",Strong,"Avoid codeine use because of potential for serious toxicity. If opioid use is warranted, consider a non-tramadol opioid.",general
codeine,"{""CYP2D6"": ""0.5""}","{""CYP2D6"": ""Intermediate Metabolizer""}",Moderate,"Use codeine label recommended age- or weight-specific dosing. If no response and opioid use is warranted, consider a non-tramadol opioid.",general
codeine,"{""CYP2D6"": ""0.75""}","{""CYP2D6"": ""Intermediate Metabolizer""}",Moderate,"Use codeine label recommended age- or weight-specific dosing. If no response and opioid use is warranted, consider a non-tramadol opioid.",general
codeine,"{""CYP2D6"": ""1.0""}","{""CYP2D6"": ""Intermediate Metabolizer""}",Moderate,"Use codeine label recommended age- or weight-specific dosing. If no response and opioid use is warranted, consider a non-tramadol opioid.",general
codeine,"{""CYP2D6"": ""1.25""}","{""CYP2D6"": ""Normal Metabolizer""}",Strong,Use codeine label recommended age- or weight-specific dosing.,general
codeine,"{""CYP2D6"": ""1.5""}","{""CYP2D6"": ""Normal Metabolizer""}",Strong,Use codeine label recommended age- or weight-specific dosing.,general
codeine,"{""CYP2D6"": ""≥5.0""}","{""CYP2D6"": ""Ultrarapid Metabolizer""}",Strong,"Avoid codeine use because of potential for serious toxicity. If opioid use is warranted, consider a non-tramadol opioid.",general
codeine,"{""CYP2D6"": ""1.75""}","{""CYP2D6"": ""Normal Metabolizer""}",Strong,Use codeine label recommended age- or weight-specific dosing.,general
codeine,"{""CYP2D6"": ""2.0""}","{""CYP2D6"": ""Normal Metabolizer""}",Strong,Use codeine label recommended age- or weight-specific dosing.,general
codeine,"{""CYP2D6"": ""2.25""}","{""CYP2D6"": ""Normal Metabolizer""}",Strong,Use codeine label recommended age- or weight-specific dosing.,general
codeine,"{""CYP2D6"": ""≥6.0""}","{""CYP2D6"": ""Ultrarapid Metabolizer""}",Strong,"Avoid codeine use because of potential for serious toxicity. If opioid use is warranted, consider a non-tramadol opioid.",general
codeine,"{""CYP2D6"": ""0.0""}","{""CYP2D6"": ""Poor Metabolizer""}",Strong,"Avoid codeine use because of possibility of diminished analgesia. If opioid use is warranted, consider a non-tramadol opioid.",general
codeine,"{""CYP2D6"": ""2.5""}","{""CYP2D6"": ""Ultrarapid Metabolizer""}",Strong,"Avoid codeine use because of potential for serious toxicity. If opioid use is warranted, consider a non-tramadol opioid.",general
codeine,"{""CYP2D6"": ""3.0""}","{""CYP2D6"": ""Ultrarapid Metabolizer""}",Strong,"Avoid codeine use because of potential for serious toxicity. If opioid use is warranted, consider a non-tramadol opioid.",general
codeine,"{""CYP2D6"": ""2.75""}","{""CYP2D6"": ""Ultrarapid Metabolizer""}",Strong,"Avoid codeine use because of potential for serious toxicity. If opioid use is warranted, consider a non-tramadol opioid.",general
codeine,"{""CYP2D6"": ""4.0""}","{""CYP2D6"": ""Ultrarapid Metabolizer""}",Strong,"Avoid codeine use because of potential for serious toxicity. If opioid use is warranted, consider a non-tramadol opioid.",general
codeine,"{""CYP2D6"": ""≥3.0""}","{""CYP2D6"": ""Ultrarapid Metabolizer""}",Strong,"Avoid codeine use because of potential for serious toxicity. If opioid use is warranted, consider a non-tramadol opioid.",general
codeine,"{""CYP2D6"": ""≥3.25""}","{""CYP2D6"": ""Ultrarapid Metabolizer""}",Strong,"Avoid codeine use because of potential for serious toxicity. If opioid use is warranted, consider a non-tramadol opioid.",general
fluorouracil,"{""DPYD"": ""1.0""}","{""DPYD"": ""Intermediate Metabolizer""}",Strong,Reduce starting dose by 50% followed by titration of dose based on toxicity or therapeutic drug monitoring (if available). Patients with the c.2846A>T/c.2846A>T genotype may require >50% reduction in starting dose.,general
fluorouracil,"{""DPYD"": ""0.0""}","{""DPYD"": ""Poor Metabolizer""}",Strong,Avoid use of 5-fluorouracil or 5-fluorouracil prodrug-based regimens.,general
fluorouracil,"{""DPYD"": ""2.0""}","{""DPYD"": ""Normal Metabolizer""}",Strong,"Based on genotype, there is no indication to change dose or therapy. Use label-recommended dosage and administration.",general
fluorouracil,"{""DPYD"": ""1.5""}","{""DPYD"": ""Intermediate Metabolizer""}",Moderate,Reduce starting dose by 50% followed by titration of dose based on toxicity or therapeutic drug monitoring (if available).,general
fluorouracil,"{""DPYD"": ""0.5""}","{""DPYD"": ""Poor Metabolizer""}",Strong,"Avoid use of 5-fluorouracil or 5-fluorouracil prodrug-based regimens. In the event, based on clinical advice, alternative agents are not considered a suitable therapeutic option, 5-fluorouracil should be administered at a strongly reduced dose with early therapeutic drug monitoring.",general
simvastatin,"{""SLCO1B1"": ""Possible Decreased Function""}","{""SLCO1B1"": ""Possible Decreased Function""}",Strong,"Prescribe an alternative statin depending on the desired potency (see Figure 1 of PMID: 35152405 for recommendations for alternative statins). If simvastatin therapy is warranted, limit dose to <20mg/day.",general
simvastatin,"{""SLCO1B1"": ""Poor Function""}","{""SLCO1B1"": ""Poor Function""}",Strong,Prescribe an alternative statin depending on the desired potency (see Figure 1 of PMID: 35152405 for recommendations for alternative statins).,general
simvastatin,"{""SLCO1B1"": ""Indeterminate""}","{""SLCO1B1"": ""Indeterminate""}",No Recommendation,No recommendation,general
simvastatin,"{""SLCO1B1"": ""Increased Function""}","{""SLCO1B1"": ""Increased Function""}",Strong,Prescribe desired starting dose and adjust doses based on disease-specific guidelines.,general
simvastatin,"{""SLCO1B1"": ""Normal Function""}","{""SLCO1B1"": ""Normal Function""}",Strong,Prescribe desired starting dose and adjust doses based on disease-specific guidelines.,general
simvastatin,"{""SLCO1B1"": ""Decreased Function""}","{""SLCO1B1"": ""Decreased Function""}",Strong,"Prescribe an alternative statin depending on the desired potency (see Figure 1 of PMID: 35152405 for recommendations for alternative statins). If simvastatin therapy is warranted, limit dose to <20mg/day.",general
